"Indicator","PUBLISH STATES","Year","WHO region","Country","Sex","Display Value","Numeric","Low","High","Comments"
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2010","Africa","Comoros","Male","25.2 [18.0-32.2]","25.20000","18.00000","32.20000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2010","Africa","Cabo Verde","Male","19.1 [12.0-28.1]","19.10000","12.00000","28.10000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2012","Africa","Cabo Verde","Male","20.2 [11.6-29.2]","20.20000","11.60000","29.20000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2020","Africa","Cabo Verde","Male","26.0 [13.2-42.3]","26.00000","13.20000","42.30000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2015","Africa","Ethiopia","Male","8.9 [6.0-12.1]","8.90000","6.00000","12.10000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2020","Africa","Ethiopia","Male","9.0 [5.5-12.9]","9.00000","5.50000","12.90000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2005","Africa","Kenya","Male","28.5 [22.8-35.7]","28.50000","22.80000","35.70000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2005","Africa","Liberia","Male","21.0 [9.7-33.9]","21.00000","9.70000","33.90000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2005","Africa","Lesotho","Male","40.7 [29.5-53.7]","40.70000","29.50000","53.70000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2015","Africa","Lesotho","Male","55.1 [38.9-73.4]","55.10000","38.90000","73.40000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2012","Africa","Mali","Male","32.6 [23.4-43.3]","32.60000","23.40000","43.30000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2015","Africa","Mali","Male","36.8 [24.0-49.4]","36.80000","24.00000","49.40000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2025","Africa","Mauritania","Male","64.9 [34.3-95.0]","64.90000","34.30000","95.00000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2000","Africa","Mauritius","Male","46.6 [36.8-57.7]","46.60000","36.80000","57.70000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2005","Africa","Mauritius","Male","44.1 [35.6-53.0]","44.10000","35.60000","53.00000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2000","Africa","Malawi","Male","32.8 [25.7-41.7]","32.80000","25.70000","41.70000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2010","Africa","Malawi","Male","27.6 [21.5-33.9]","27.60000","21.50000","33.90000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2012","Africa","Namibia","Male","36.4 [25.5-49.9]","36.40000","25.50000","49.90000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2012","Africa","Niger","Male","15.9 [11.8-20.1]","15.90000","11.80000","20.10000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2025","Africa","Senegal","Male","28.7 [17.2-42.4]","28.70000","17.20000","42.40000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2000","Africa","Sierra Leone","Male","40.1 [27.6-54.9]","40.10000","27.60000","54.90000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2005","Africa","Swaziland","Male","16.8 [13.2-21.0]","16.80000","13.20000","21.00000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2010","Africa","Swaziland","Male","17.8 [13.2-22.2]","17.80000","13.20000","22.20000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2012","Africa","United Republic of Tanzania","Male","29.2 [21.4-37.6]","29.20000","21.40000","37.60000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2015","Africa","United Republic of Tanzania","Male","27.5 [19.7-36.9]","27.50000","19.70000","36.90000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2025","Africa","Uganda","Male","11.8 [5.9-18.3]","11.80000","5.90000","18.30000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2015","Africa","South Africa","Male","31.4 [24.1-40.7]","31.40000","24.10000","40.70000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2000","Africa","Zambia","Male","31.0 [23.6-40.5]","31.00000","23.60000","40.50000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2005","Africa","Cameroon","Female","0.9 [0.3-1.6]","0.90000","0.30000","1.60000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2010","Africa","Cameroon","Female","0.9 [0.3-1.6]","0.90000","0.30000","1.60000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2012","Africa","Cameroon","Female","0.9 [0.3-1.6]","0.90000","0.30000","1.60000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2015","Africa","Congo","Female","1.7 [0.8-2.8]","1.70000","0.80000","2.80000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2020","Africa","Congo","Female","1.8 [0.8-3.1]","1.80000","0.80000","3.10000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2025","Africa","Cabo Verde","Female","2.6 [1.0-4.7]","2.60000","1.00000","4.70000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2000","Africa","Ethiopia","Female","0.6 [0.3-1.0]","0.60000","0.30000","1.00000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2010","Africa","Ethiopia","Female","0.5 [0.3-0.8]","0.50000","0.30000","0.80000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2010","Africa","Kenya","Female","2.4 [1.6-3.4]","2.40000","1.60000","3.40000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2015","Africa","Kenya","Female","2.1 [1.3-3.3]","2.10000","1.30000","3.30000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2015","Africa","Liberia","Female","2.4 [1.1-3.9]","2.40000","1.10000","3.90000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2020","Africa","Liberia","Female","2.0 [0.7-3.4]","2.00000","0.70000","3.40000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2025","Africa","Lesotho","Female","0.4 [0.1-0.6]","0.40000","0.10000","0.60000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2020","Africa","Mali","Female","3.0 [1.5-4.7]","3.00000","1.50000","4.70000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2025","Africa","Mali","Female","2.8 [1.2-4.7]","2.80000","1.20000","4.70000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2005","Africa","Mozambique","Female","6.9 [3.4-10.7]","6.90000","3.40000","10.70000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2012","Africa","Mauritius","Female","3.5 [2.6-4.7]","3.50000","2.60000","4.70000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2015","Africa","Malawi","Female","6.0 [3.2-8.9]","6.00000","3.20000","8.90000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2020","Africa","Malawi","Female","5.2 [2.6-8.6]","5.20000","2.60000","8.60000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2020","Africa","Namibia","Female","10.5 [5.8-15.5]","10.50000","5.80000","15.50000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2020","Africa","Niger","Female","0.2 [0.1-0.3]","0.20000","0.10000","0.30000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2025","Africa","Niger","Female","0.1 [0.0-0.3]","0.10000","0.00000","0.30000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2010","Africa","Senegal","Female","0.9 [0.6-1.3]","0.90000","0.60000","1.30000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2012","Africa","Swaziland","Female","2.4 [1.4-3.4]","2.40000","1.40000","3.40000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2015","Africa","Swaziland","Female","2.2 [1.3-3.4]","2.20000","1.30000","3.40000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2005","Africa","South Africa","Female","10.0 [8.0-12.1]","10.00000","8.00000","12.10000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2010","Africa","South Africa","Female","8.0 [6.4-10.0]","8.00000","6.40000","10.00000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2015","Africa","South Africa","Female","6.5 [5.0-8.5]","6.50000","5.00000","8.50000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2010","Africa","Zambia","Female","5.0 [3.1-7.2]","5.00000","3.10000","7.20000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2020","Africa","Zambia","Female","4.2 [2.0-7.2]","4.20000","2.00000","7.20000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2020","Africa","Zimbabwe","Female","1.9 [0.9-3.2]","1.90000","0.90000","3.20000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2025","Africa","Zimbabwe","Female","1.7 [0.5-2.9]","1.70000","0.50000","2.90000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2005","Americas","Bolivia (Plurinational State of)","Male","42.8 [27.5-63.5]","42.80000","27.50000","63.50000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2005","Americas","Brazil","Male","25.4 [20.4-30.3]","25.40000","20.40000","30.30000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2012","Americas","Brazil","Male","21.0 [15.8-25.4]","21.00000","15.80000","25.40000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2012","Americas","Barbados","Male","13.2 [8.2-19.2]","13.20000","8.20000","19.20000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2015","Americas","Barbados","Male","13.1 [7.1-19.7]","13.10000","7.10000","19.70000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2025","Americas","Chile","Male","35.2 [18.8-53.1]","35.20000","18.80000","53.10000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2000","Americas","Costa Rica","Male","27.5 [18.1-40.2]","27.50000","18.10000","40.20000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2000","Americas","Cuba","Male","54.7 [33.2-77.6]","54.70000","33.20000","77.60000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2005","Americas","Cuba","Male","54.0 [34.3-80.9]","54.00000","34.30000","80.90000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2000","Americas","Dominican Republic","Male","21.7 [16.1-28.1]","21.70000","16.10000","28.10000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2015","Americas","Ecuador","Male","14.0 [7.4-21.1]","14.00000","7.40000","21.10000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2020","Americas","Ecuador","Male","12.3 [5.7-20.5]","12.30000","5.70000","20.50000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2025","Americas","Honduras","Male","23.8 [10.2-41.2]","23.80000","10.20000","41.20000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2015","Americas","Haiti","Male","22.1 [12.4-32.7]","22.10000","12.40000","32.70000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2020","Americas","Jamaica","Male","30.7 [12.4-52.2]","30.70000","12.40000","52.20000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2000","Americas","Mexico","Male","36.6 [29.8-43.8]","36.60000","29.80000","43.80000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2005","Americas","Mexico","Male","30.2 [25.3-35.5]","30.20000","25.30000","35.50000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2005","Americas","Panama","Male","18.9 [13.9-23.5]","18.90000","13.90000","23.50000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2005","Americas","Paraguay","Male","39.0 [30.4-50.0]","39.00000","30.40000","50.00000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2010","Americas","Paraguay","Male","33.1 [23.1-42.7]","33.10000","23.10000","42.70000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2015","Americas","Uruguay","Male","26.7 [21.0-33.2]","26.70000","21.00000","33.20000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2025","Americas","Uruguay","Male","18.3 [12.4-26.1]","18.30000","12.40000","26.10000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2020","Americas","United States of America","Male","17.4 [13.6-21.2]","17.40000","13.60000","21.20000","Cigarettes only"
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2000","Americas","Argentina","Female","34.0 [26.0-42.8]","34.00000","26.00000","42.80000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2025","Americas","Argentina","Female","12.4 [7.8-17.7]","12.40000","7.80000","17.70000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2005","Americas","Bolivia (Plurinational State of)","Female","22.8 [14.4-32.4]","22.80000","14.40000","32.40000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2010","Americas","Brazil","Female","13.3 [10.7-16.2]","13.30000","10.70000","16.20000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2012","Americas","Brazil","Female","12.4 [9.7-15.5]","12.40000","9.70000","15.50000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2010","Americas","Barbados","Female","1.2 [0.5-1.8]","1.20000","0.50000","1.80000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2012","Americas","Barbados","Female","1.1 [0.5-1.7]","1.10000","0.50000","1.70000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2015","Americas","Barbados","Female","0.9 [0.4-1.6]","0.90000","0.40000","1.60000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2010","Americas","Chile","Female","38.3 [28.6-48.4]","38.30000","28.60000","48.40000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2015","Americas","Chile","Female","36.0 [26.0-48.2]","36.00000","26.00000","48.20000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2025","Americas","Chile","Female","32.1 [18.1-49.7]","32.10000","18.10000","49.70000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2025","Americas","Colombia","Female","4.4 [1.3-8.3]","4.40000","1.30000","8.30000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2010","Americas","Ecuador","Female","3.8 [1.9-5.9]","3.80000","1.90000","5.90000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2012","Americas","Ecuador","Female","3.6 [1.9-5.6]","3.60000","1.90000","5.60000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2015","Americas","Ecuador","Female","3.3 [1.4-5.3]","3.30000","1.40000","5.30000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2012","Americas","Honduras","Female","2.4 [1.4-3.7]","2.40000","1.40000","3.70000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2020","Americas","Haiti","Female","2.2 [1.0-3.8]","2.20000","1.00000","3.80000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2020","Americas","Jamaica","Female","5.2 [2.1-9.1]","5.20000","2.10000","9.10000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2025","Americas","Mexico","Female","4.3 [2.6-5.8]","4.30000","2.60000","5.80000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2005","Americas","Panama","Female","4.1 [3.1-5.2]","4.10000","3.10000","5.20000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2010","Americas","Paraguay","Female","9.7 [6.9-12.9]","9.70000","6.90000","12.90000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2012","Americas","Uruguay","Female","22.0 [17.6-26.4]","22.00000","17.60000","26.40000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2025","Americas","Uruguay","Female","12.8 [8.0-17.3]","12.80000","8.00000","17.30000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2000","Eastern Mediterranean","Bahrain","Male","18.2 [13.8-22.6]","18.20000","13.80000","22.60000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2005","Eastern Mediterranean","Bahrain","Male","25.0 [19.4-29.8]","25.00000","19.40000","29.80000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2010","Eastern Mediterranean","Egypt","Male","43.9 [35.0-52.9]","43.90000","35.00000","52.90000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2005","Eastern Mediterranean","Iran (Islamic Republic of)","Male","26.8 [21.2-33.2]","26.80000","21.20000","33.20000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2012","Eastern Mediterranean","Iran (Islamic Republic of)","Male","22.9 [17.7-28.6]","22.90000","17.70000","28.60000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2012","Eastern Mediterranean","Jordan","Male","63.6 [42.9-86.0]","63.60000","42.90000","86.00000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2020","Eastern Mediterranean","Jordan","Male","80.4 [51.2-100.0]","80.40000","51.20000","100.00000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2015","Eastern Mediterranean","Lebanon","Male","45.4 [32.1-59.5]","45.40000","32.10000","59.50000",""
